"Symptom Type","Reporter Comment"
"5 - Quality Issue - Assembly","Missing foot/switch plate"
"5 - Quality Issue - Assembly","Mapping Sensor was not within spec & Left 2D sensor failed go- nogo gauge "
"2 - Quality Issue - Appearance","Surface A: Deep gouges and scratches "
"2 - Quality Issue - Appearance","Surface A: Deep gouges and scratches "
"5 - Quality Issue - Assembly","Recovery Tank is loose"
"5 - Quality Issue - Assembly","Spacer installed incorrectly. See Photos"
"5 - Quality Issue - Assembly","Spacer installed incorrectly. See Photos"
"5 - Quality Issue - Assembly","Incorrect spacing between tank"
"5 - Quality Issue - Assembly","Incorrect spacing between tank"
"5 - Quality Issue - Assembly","Missing Serial Tag Label"
"5 - Quality Issue - Assembly","Missing Serial Tag Label"
"5 - Quality Issue - Assembly","Autonomy Module: Loose connectors all around"
"5 - Quality Issue - Assembly","Autonomy Module: Loose connectors all around"
"5 - Quality Issue - Assembly","Missing Foot Pedal Assembly "
"5 - Quality Issue - Assembly","Missing Foot Pedal Assembly "
"3 - Quality Issue - Supplier","Open Production Stations. S2, M3, M5 and EOL"
"5 - Quality Issue - Assembly","Missing Detergent Botte"
"5 - Quality Issue - Assembly","Missing Detergent Botte"
"4 - Quality Issue - Functional","dumper will not open and making a rattle noise. missing yellow holder for filter."
"5 - Quality Issue - Assembly","dumper will not open and making a rattle noise. missing yellow holder for filter."
"5 - Quality Issue - Assembly","Metal clip on wrong clamp"
"3 - Quality Issue - Supplier","Right door handle hitting plastic on inside"
"5 - Quality Issue - Assembly","Missing drive wheel 56383293"
"5 - Quality Issue - Assembly","Missing back up alarm decal  and there is an extra decal for nilfisk machine "
"5 - Quality Issue - Assembly","Latch hopper cover is hitting the hopper cover "
"5 - Quality Issue - Assembly","Missing  Floor Mat Kit "
"5 - Quality Issue - Assembly","SUB 2&7 forgot to close VF "
"5 - Quality Issue - Assembly","Associated Issues Left open on VF "
"4 - Quality Issue - Functional","Fault Code: F293 Software Reset
is active."
"5 - Quality Issue - Assembly","mainbroom can't adjust "
"5 - Quality Issue - Assembly","scrubdeck not stable."
"5 - Quality Issue - Assembly","Loose deck "
"5 - Quality Issue - Assembly","Missing yellow knob for shaker motor bracket "
"5 - Quality Issue - Assembly","SUB 4&7 forgot to close VF "
"4 - Quality Issue - Functional","Prop rod gets stuck when trying to close "
"1 - Performance Loss","Spray paint cap in engine area"
"5 - Quality Issue - Assembly","loose bolt on prop rod.
"
"4 - Quality Issue - Functional","dump door won't open."
"4 - Quality Issue - Functional","dump door won't open."
"5 - Quality Issue - Assembly","Hub 2 didn't clock out the machine."
"4 - Quality Issue - Functional","Possible leak on engine oil pan drain plug."
"4 - Quality Issue - Functional","Oil Cooler is leaking."
"5 - Quality Issue - Assembly","E-Brake is too light. "
"2 - Quality Issue - Appearance","Side broom have some burnt out mark , function are working normal no issues on functionality "
"5 - Quality Issue - Assembly","Overhead Guard serial number is missing "
"5 - Quality Issue - Assembly","Loose cables next to alternator "
"5 - Quality Issue - Assembly","Main 3
Sub 7 
EOL 
FORGOT TO CLOSE VF "
"5 - Quality Issue - Assembly","Associated Issues Left open on VF "
"2 - Quality Issue - Appearance","Latch hopper cover is hitting the hopper "
"2 - Quality Issue - Appearance","Decal filter shaker hanger have some bubbles in it "
"5 - Quality Issue - Assembly","Sub 7 forgot to close VF "
"5 - Quality Issue - Assembly","Lamp left Behind the seat "
"5 - Quality Issue - Assembly","Hopper assy gets stuck "
"5 - Quality Issue - Assembly","scrub deck is loose "
"5 - Quality Issue - Assembly","main broom won't adjust "
"3 - Quality Issue - Supplier","Filter shaker motor rusty"
"2 - Quality Issue - Appearance","shavings On top of battery "
"5 - Quality Issue - Assembly","BAY 4 forgot to close VF "
"5 - Quality Issue - Assembly","Hopper assembly gets stuck when trying to take it off from left side "
"1 - Performance Loss","Torque seal on floor"
"5 - Quality Issue - Assembly","scrub deck is loose"
"5 - Quality Issue - Assembly","bolts and nut for main broom are not installed correctly and missing a nut "
"5 - Quality Issue - Assembly","bolts and nut for main broom are not installed correctly and missing a nut "
"4 - Quality Issue - Functional","dump door actuator doesn't work"
"4 - Quality Issue - Functional","dump door actuator doesn't work"
"2 - Quality Issue - Appearance","Streak on left side of solution tank "
"5 - Quality Issue - Assembly","deck disk installed incorrect where tape is at. "
"5 - Quality Issue - Assembly","eco flex door has a lump where we put (no step) decal on "
"5 - Quality Issue - Assembly","steering is loose adjuster dont work "
"5 - Quality Issue - Assembly","squeegee knob is hard to adjust "
"4 - Quality Issue - Functional","can't set the dump door. actuator may be faulty."
"5 - Quality Issue - Assembly","UV marks not properly mark "
"2 - Quality Issue - Appearance","Some shavings left on top  of battery "
"4 - Quality Issue - Functional","Solution system does not seems to be running"
"5 - Quality Issue - Assembly","Hopper assy is getting stuck when trying to take it out "
"5 - Quality Issue - Assembly","Associated Issues left open on VF 

"
"5 - Quality Issue - Assembly","not enough pressure on vac during testing"
"5 - Quality Issue - Assembly","active faults code 2-024 M4 vac 1 open "
"5 - Quality Issue - Assembly","side broom need adjustment sits too low"
"5 - Quality Issue - Assembly","loose deck "
"4 - Quality Issue - Functional"," scrub deck, observe M17 Deck & M17 Deck Amps statuses. M17 Deck Amps must zero out (or close to zero at 0.1) before M17 Deck turns to “Off” from “Up” status.  Following FQC WI it doesn’t seem like the scrub Deck is working "
"5 - Quality Issue - Assembly","Main controller set up does not match with WI set up "
"5 - Quality Issue - Assembly","Missing gas spring "
"5 - Quality Issue - Assembly","can not installed side panel,corner of battery tray is hitting side panel."
"5 - Quality Issue - Assembly","wrote ticket for side broom since 10 or 11 haven't received any. "
"5 - Quality Issue - Assembly","Prop rod sometimes work and some other gets stuck "
"5 - Quality Issue - Assembly","SUB 4&7 forgot to close VF "
"5 - Quality Issue - Assembly","Associated Issues Left open on VF "
"2 - Quality Issue - Appearance","Shavings in rec tank filter area"
"5 - Quality Issue - Assembly","mist does not work."
"5 - Quality Issue - Assembly","Hopper assembly gets stuck when trying to take it off from left side 


Right side does not have problem "
"1 - Performance Loss","No main broom motor."
"5 - Quality Issue - Assembly","Associated Issues left open on VF "
"5 - Quality Issue - Assembly","UV marking not properly marked "
"5 - Quality Issue - Assembly","main broom wont go up or down."
"4 - Quality Issue - Functional","Solution filter have some leak "
"5 - Quality Issue - Assembly","waiting on side panel "
"5 - Quality Issue - Assembly","Test battery still in machine"
"4 - Quality Issue - Functional","Added washers behind recovery tank latch so it would close properly."
"5 - Quality Issue - Assembly","missing battery cover (waiting for it)"
"5 - Quality Issue - Assembly","uv marks not properly marked "
"4 - Quality Issue - Functional","Switch grammer seat is not working "
"5 - Quality Issue - Assembly","EOL forgot to close VF "
"5 - Quality Issue - Assembly","Missing decal tilt wheel "
"1 - Performance Loss","No main broom motor."
"4 - Quality Issue - Functional","Cleared fault history and fault 3-0103 go pedal always on came back"
"5 - Quality Issue - Assembly","grammer seat switch doesn't work.
"
"5 - Quality Issue - Assembly","missing a plate/ cover in the recovery tank.
"
"4 - Quality Issue - Functional","Orange LED lights and Warning sound not functioning properly."
"5 - Quality Issue - Assembly","spring at bottom vac hose is loose "
"5 - Quality Issue - Assembly","grammer seat switch doesn't work"
"5 - Quality Issue - Assembly","Mapping and Left Safety sensors not calibrated to specs."
"5 - Quality Issue - Assembly","Mapping and Left Safety sensors not calibrated to specs."
"5 - Quality Issue - Assembly","SN does not match on VF"
"5 - Quality Issue - Assembly","Steering wheel missing cap."
"5 - Quality Issue - Assembly","Loose hardware on main harness p-clamp"
"5 - Quality Issue - Assembly","SUB 7&10 forgot to close VF "
"5 - Quality Issue - Assembly","Hopper harness is not secure on strain relief "
"5 - Quality Issue - Assembly","Bay 5 forgot to close VF "
"5 - Quality Issue - Assembly","Missing SN on VF"
"2 - Quality Issue - Appearance","Rotomold ""Surface A"" damage on Solution Tank, on right corner."
"5 - Quality Issue - Assembly","Missing Debris Cage, none in Warehouse."
"5 - Quality Issue - Assembly","Right Safety sensor out of calibration specs."
"4 - Quality Issue - Functional","SOLUTION filter have some leak "
"2 - Quality Issue - Appearance","Latch is hitting the hopper cover "
"5 - Quality Issue - Assembly","SUB 9 forgot to close VF "
"4 - Quality Issue - Functional","Auto Max Speed set at 0."
"5 - Quality Issue - Assembly","Ecoflex Bottles is missing cap "
"5 - Quality Issue - Assembly","Missing Debris Cage, out in Warehouse."
"5 - Quality Issue - Assembly","has a scratch/dent on back of recovery tank "
"5 - Quality Issue - Assembly","SUB 9 MAIN 10; forgot to close VF "
"2 - Quality Issue - Appearance","Hopper cover assy latch broke when opening "
"4 - Quality Issue - Functional","Added washers behind recovery tank latch so it would close properly."
"2 - Quality Issue - Appearance","Fault Code: 5-F658, Auto Scrub Exit."
"2 - Quality Issue - Appearance","Fault Code: 5-F658, Auto Scrub Exit."
"5 - Quality Issue - Assembly","Missing disk skirt"
"5 - Quality Issue - Assembly","Mapping sensor failed. Not within spec"
"5 - Quality Issue - Assembly","Right & Left sensor was not within spec"
"5 - Quality Issue - Assembly","Right & Left sensor failed go- nogo gauge"
"5 - Quality Issue - Assembly","Sub 8, M3 & M5 is still open in visual factory "
"3 - Quality Issue - Supplier","Squeegee lift weldment is too tight"
"5 - Quality Issue - Assembly","Squeegee lift weldment is too tight"
"5 - Quality Issue - Assembly","Bolts holding down recovery tank is loose"
"3 - Quality Issue - Supplier","Float meter failed go no go gauge "
"5 - Quality Issue - Assembly","Float meter failed go no go gauge "
"3 - Quality Issue - Supplier","Squeegee lift weldment is too tight "
"3 - Quality Issue - Supplier","Squeegee lift weldment is too tight "
"5 - Quality Issue - Assembly","Squeegee lift weldment is too tight "
"5 - Quality Issue - Assembly","Production Station is still Open, M3, M5 & M6"
"3 - Quality Issue - Supplier","Right & Left 2D sensor failed the Go-Nogo Gauge"
"3 - Quality Issue - Supplier","Mapping Sensor was not within spec"
"5 - Quality Issue - Assembly","scrub deck is loose"
"5 - Quality Issue - Assembly","Missing ground chain."
"5 - Quality Issue - Assembly","Dry break cap and chemical tank not assembled"
"1 - Performance Loss","No main broom motor."
"5 - Quality Issue - Assembly","Mussing detergent pump tubing"
"5 - Quality Issue - Assembly","Missing ground chain"
"1 - Performance Loss","Infor LN is SLOW, so could not complete Track Clean verification and Manufacturing Order CLOCK OUT."
"5 - Quality Issue - Assembly","Missing disk skirt"
"5 - Quality Issue - Assembly","Missing ground chain "
"5 - Quality Issue - Assembly","Ground chain missing"
"5 - Quality Issue - Assembly","Drive wheel chain too loose."
"5 - Quality Issue - Assembly","Chemical tank and dry cap isn't assembled."
"5 - Quality Issue - Assembly","Ground chain isn't assembled."
"4 - Quality Issue - Functional","3D camera fault code 5-F4AB, camera roll bound."
"4 - Quality Issue - Functional","3D camera fault code 5-F4AB, camera roll bound."
"1 - Performance Loss","Missing foot pedals
"
"1 - Performance Loss","Missing grounding chain
"
"5 - Quality Issue - Assembly","Steering Column Lever doesn't lock in place in all the way down position. It will freely move until all the way up position. Hydraulic Hose must be touching the Q piece again."
"4 - Quality Issue - Functional","Solution Drain Hose is leaking from the Cap. No matter how tight it is, it's still leaking.
It does have the black rubber seal in the cap too."
"5 - Quality Issue - Assembly","L/H Mist Spray Nozzle Angle is incorrect."
"5 - Quality Issue - Assembly","engine code 36 "
"2 - Quality Issue - Appearance","Mount for breakout box was bent during assembly. Check with Zach if it is passable or should be DMTed"
"2 - Quality Issue - Appearance","Mount for breakout box was bent during assembly. Check with Zach if it is passable or should be DMTed"
"5 - Quality Issue - Assembly","Missing ground chain"
"2 - Quality Issue - Appearance","Camera keep on seeing phantom object during fill-in . Replaced a new camera for it. "
"4 - Quality Issue - Functional","Switch for grammer seat is not working "
"3 - Quality Issue - Supplier","Fire extinguisher part #56510605 belongs to a CS7010 not for a SC6500"
"5 - Quality Issue - Assembly","Mix book package it’s an ADVANCE and got nilfisk package "
"5 - Quality Issue - Assembly","Missing black cover cap for steering wheel"
"5 - Quality Issue - Assembly","Missing black cover cap for steering wheel"
"5 - Quality Issue - Assembly","Missing ground chain"
"5 - Quality Issue - Assembly","Missing ground chain"
"5 - Quality Issue - Assembly","Missing chemical tank/dry cap installation on hose."
"5 - Quality Issue - Assembly","Missing chemical tank/dry cap installation on hose."
"4 - Quality Issue - Functional","Mist spray no properly working "
"2 - Quality Issue - Appearance","Different color vac hose "
"5 - Quality Issue - Assembly","Missing decal (56394259) P65Warning and decal (56014601) DECAL-CAUTION "
"5 - Quality Issue - Assembly","Hopper cover hitting hook"
"5 - Quality Issue - Assembly","Dry break cap is not installed on the hose."
"5 - Quality Issue - Assembly","Missing chemical tank"
"5 - Quality Issue - Assembly","Missing ground chain"
"5 - Quality Issue - Assembly","Missing Keys"
"1 - Performance Loss","No 56509519 strap."
"5 - Quality Issue - Assembly","Hopper harness not routed properly "
"5 - Quality Issue - Assembly","There is not  appropriate gap exists between front wheels and rotomold right wheel "
"5 - Quality Issue - Assembly","Prop rod loose won’t lock safely "
"2 - Quality Issue - Appearance","Distortion noise that sound like buzzing from drive wheel. Please let Zack observe. "
"5 - Quality Issue - Assembly","Missing foot plate"
"5 - Quality Issue - Assembly","Missing foot plate"
"2 - Quality Issue - Appearance","Missing white ferrite bead (56115456) and chemical tank (56104177)."
"2 - Quality Issue - Appearance","Missing white ferrite bead (56115456) and chemical tank (56104177)."
"3 - Quality Issue - Supplier","Breaker harness have 4 pins loose. Pin: 1,8,13, and 30. Issue could've been a supplier problem. - Thomas FQC - Benson EOL"
"3 - Quality Issue - Supplier","Breaker harness have 4 pins loose. Pin: 1,8,13, and 30. Issue could've been a supplier problem. - Thomas FQC - Benson EOL"
"3 - Quality Issue - Supplier","Breaker harness have 4 pins loose. Pin: 1,8,13, and 30. Issue could've been a supplier problem. - Thomas FQC - Benson EOL"
"3 - Quality Issue - Supplier","Critical Issue: Speed Pot Dial was connected wrong. Non-functional "
"3 - Quality Issue - Supplier","Critical Issue: Speed Pot Dial was connected wrong. Non-functional "
"2 - Quality Issue - Appearance","Missing white ferrite bead (56115456) for main harness. "
"2 - Quality Issue - Appearance","Missing white ferrite bead (56115456) for main harness. "
"5 - Quality Issue - Assembly","Missing foot plate"
"4 - Quality Issue - Functional","Right side door not closing due to hitting engine cover"
"5 - Quality Issue - Assembly","Missing ground chain. "
"5 - Quality Issue - Assembly","Missing ground chain. "
"2 - Quality Issue - Appearance","Different color vac hose"
"5 - Quality Issue - Assembly","Missing UV marks on dust fan "
"5 - Quality Issue - Assembly","Associated Issues Left open on VF "
"5 - Quality Issue - Assembly","hopper shaker green wire smash"
"5 - Quality Issue - Assembly","Test broom not take  off "
"5 - Quality Issue - Assembly","P-clamp is not secure "
"5 - Quality Issue - Assembly","Missing foot plate"
"5 - Quality Issue - Assembly","Missing foot plate "
"5 - Quality Issue - Assembly","There is not enough gap on Actuator yoke dump door "
"5 - Quality Issue - Assembly","Alternator connector cover is not place covering the connector "
"5 - Quality Issue - Assembly","Alternator connector cover is not place covering the connector "
"5 - Quality Issue - Assembly","Main broom needs to be adjusted Shaking a little "
"5 - Quality Issue - Assembly","EOL forgot to close VF "
"5 - Quality Issue - Assembly","Issues Acknowledged Left open on VF "
"1 - Performance Loss","Excessive debris is hopper"
"1 - Performance Loss","Excessive debris is hopper"
"1 - Performance Loss","Tag left on engine and got burned"
"5 - Quality Issue - Assembly","Black drain hose released per Wenner. Sajid will work on deviation."
"1 - Performance Loss","No Main Broom motor."
"5 - Quality Issue - Assembly","Scrub deck Is loose"
"5 - Quality Issue - Assembly","Missing debris basket on recovery tank "
"5 - Quality Issue - Assembly","MAIN 2 and EOL forgot to close VF "
"5 - Quality Issue - Assembly","Missing 1 ecoflex bottle "
"5 - Quality Issue - Assembly","Missing SN on VF "
"2 - Quality Issue - Appearance","Different color vac hose "
"5 - Quality Issue - Assembly","Loose cables next to alternator "
"5 - Quality Issue - Assembly","MAIN 2 forgot to close VF "
"5 - Quality Issue - Assembly","Associated Issues
Issues Acknowledged
Left open on VF"
"2 - Quality Issue - Appearance","Oil residue on wheel pump."
"5 - Quality Issue - Assembly","Missing plug on solution tank."
"5 - Quality Issue - Assembly","Engine coolant level low."
"5 - Quality Issue - Assembly","Missing UV marks on hopper cover latches."
"2 - Quality Issue - Appearance","Oil residue on manifold, right side bottom hoses and hydraulic pump underneath."
"5 - Quality Issue - Assembly","mainbroom wont go down"
"5 - Quality Issue - Assembly","sidebroom not going down "
"2 - Quality Issue - Appearance","Side broom decal have scratches "
"5 - Quality Issue - Assembly","Missing tie-down decal; rear left. Oil reservoir decal crooked."
"1 - Performance Loss","No main broom motor."
"2 - Quality Issue - Appearance","Adhesive residue on engine cover."
"5 - Quality Issue - Assembly","Hopper strain reliefs not UV marked."
"2 - Quality Issue - Appearance","Permanent marker lines inside on litter vac cover."
"2 - Quality Issue - Appearance","Different color vac hose "
"5 - Quality Issue - Assembly","red wiring for bottom sensor near back squeeze is not connected"
"5 - Quality Issue - Assembly","main broom wont go down "
"5 - Quality Issue - Assembly","scrub deck is loose"
"1 - Performance Loss","No serial number in vf"
"4 - Quality Issue - Functional","Added washers behind recovery tank latch so it would close properly."
"5 - Quality Issue - Assembly","Missing debris basket "
"5 - Quality Issue - Assembly","Loose cables next to alternator "
"1 - Performance Loss","No main broom motor."
"2 - Quality Issue - Appearance","Bolt for the chain is strip and stuck with nut. Please remove bolt."
"2 - Quality Issue - Appearance","Bolt for the chain is strip and stuck with nut. Please remove bolt."
"5 - Quality Issue - Assembly","Missing tie downs on battery tray"
"5 - Quality Issue - Assembly","Hardware missing UV marks."
"1 - Performance Loss","No main broom motor."
"5 - Quality Issue - Assembly","Only 0.1 hrs on machine"
"2 - Quality Issue - Appearance","Tape on hopper"
"5 - Quality Issue - Assembly","Missing foam guards for propane tank"
"4 - Quality Issue - Functional","Added washers behind recovery tank latch so it would close properly."
"5 - Quality Issue - Assembly","main broom doesn't go down, need to replaced main broom act"
"5 - Quality Issue - Assembly","loosed deck 
"
"4 - Quality Issue - Functional","Right Side Broom Motor is leaking. Evidence of leak was noticed after FQC Drive Test. Refer to pictures."
"2 - Quality Issue - Appearance","Chassis has oil residue on it. Poor clean up."
"5 - Quality Issue - Assembly","Main Broom height cannot be adjusted. Most likely cause is the Actuator wasn't set correctly at Main 2. Another probable cause is the Dump Door Actuator."
"5 - Quality Issue - Assembly","Sub 9 Didn't clock out the Machine in VF before reaching FQC."
"1 - Performance Loss","No main broom motor."
"2 - Quality Issue - Appearance","R/H Mist/Spray Nozzle is clogged. It's not fully spraying in a fan pattern. Clogging is also affecting the water pressure coming out of the nozzles."
"5 - Quality Issue - Assembly","Main Broom cannot be adjusted up. It's set too far down. Most likely the Actuator is set incorrectly from Main 2."
"5 - Quality Issue - Assembly","Engine Connector wasn’t reconnected after Hot Test."
"5 - Quality Issue - Assembly","SUB 9 didn’t close out machine of VF before reaching FQC."
"5 - Quality Issue - Assembly","Kabuto LPG Gauge Kit - 4 Cylinder is not installed. Check LN."
"5 - Quality Issue - Assembly","Scrub Deck is loose."
"2 - Quality Issue - Appearance","Recovery Tank Drain Hose is dirty from failure to clean after draining from EOL Drive Test."
"2 - Quality Issue - Appearance","FOD, specifically a wrench, left in recovery tank."
"2 - Quality Issue - Appearance","FOD in recovery tank."
"5 - Quality Issue - Assembly","Shaker Motor bushing is installed too tight."
"3 - Quality Issue - Supplier","Machine doesn’t accelerate when pressing down on pedal."
"5 - Quality Issue - Assembly","Deck not installed"
"5 - Quality Issue - Assembly","Deck not installed"
"2 - Quality Issue - Appearance","Missing bracket tip."
"5 - Quality Issue - Assembly","Missing foot plate"
"5 - Quality Issue - Assembly","out of  vac hose. need to match can not be mix match.
"
"5 - Quality Issue - Assembly","brake handle is rubbing on foot panel. 
"
"5 - Quality Issue - Assembly","Hopper strain relief not UV marked."
"5 - Quality Issue - Assembly","Hopper Warning Decal is missing."
"2 - Quality Issue - Appearance","Paint chip on Lift Weldment."
"5 - Quality Issue - Assembly","Has a code on the panel "
"5 - Quality Issue - Assembly","Rear left and right decal in wrong position, and front left decal is crooked."
"4 - Quality Issue - Functional","Left signal lights does not properly function, does not work when left signal switch is on and rear left signal light does not work on emergency switch."
"4 - Quality Issue - Functional","Amber strobe light not functioning."
"2 - Quality Issue - Appearance","White residue on diesel tank."
"5 - Quality Issue - Assembly","scrub deck loose and main broom not working"
"5 - Quality Issue - Assembly","Cables next to alternator are not secure "
"5 - Quality Issue - Assembly","Sub 7&9 forgot to close VF "
"5 - Quality Issue - Assembly","Associate Issues left open on VF"
"5 - Quality Issue - Assembly","Prop rod won’t release properly "
"4 - Quality Issue - Functional","Added washers behind recovery tank latch so it would close properly."
"5 - Quality Issue - Assembly","can not lift left side deck, over tighten or seem stuck doesn't  move up and down."
"5 - Quality Issue - Assembly","loose deck 
"
"5 - Quality Issue - Assembly","Prop 65 decal in (Advance machines only) Is missing "
"5 - Quality Issue - Assembly","Main 7 did not close VF "
"5 - Quality Issue - Assembly","Production issues left open on VF"
"5 - Quality Issue - Assembly","- Brake Pedal Assyl is loose "
"5 - Quality Issue - Assembly","can not clock M.O.# 109066898, 109066899, and 109066900 status needs to changed from released to active. "
"5 - Quality Issue - Assembly","side panel doesn't fit, touching battery tray.
"
"5 - Quality Issue - Assembly","Missing metal plate on quad hose clamp - right side of hopper"
"5 - Quality Issue - Assembly","cad window is hitting the Engine Rear Cover Assy "
"5 - Quality Issue - Assembly","cab window is hitting the  raised intake filter hose "
"5 - Quality Issue - Assembly","intermedia cover is hitting cabinet gasket causing a big gap "
"5 - Quality Issue - Assembly","Missing a lot of UV mark on engine cover"
"5 - Quality Issue - Assembly","Missing a lot of UV mark on engine cover"
"4 - Quality Issue - Functional","Main broom actuator radical adjust not going up or down needs to be adjusted "
"5 - Quality Issue - Assembly","MAIN 1 ,SUB 7 & 9 FOR GOT TO CLOCK OUT FROM VF "
"5 - Quality Issue - Assembly","alternator cable needs to be oriented to 10 o'clock and 12 o'clock  "
"5 - Quality Issue - Assembly","Alternator cable needs to be oriented 10 o’clock and 12 o’clock for more details please check the attached WI picture"
"5 - Quality Issue - Assembly","Alternator cable needs to be oriented 10 o’clock and 12 o’clock for more details please check the attached WI picture "
"7 - Training","Training"
"5 - Quality Issue - Assembly","Recovery tank gasket applied incorrectly."
"5 - Quality Issue - Assembly","signal light sometimes blinks fast when headlight is on"
"5 - Quality Issue - Assembly","Engine cover rubs on cab a little leaving scratch mark on engine cover"
"3 - Quality Issue - Supplier","Shavings in rec tank filter"
"4 - Quality Issue - Functional","Error code not cleared"
"2 - Quality Issue - Appearance","Hydraulic Manifold in the rear has a lot of residual hydraulic oil over it, fittings, and hoses.
Resulted from Poor Clean-up after replacing the Rear Squeegee Lift Cylinder."
"5 - Quality Issue - Assembly","ALTERNATOR CABLES ARE NOT ORIENTED AT 10 o'clock  and 12 o'clock  "
"4 - Quality Issue - Functional","left nozzle spray is not properly spraying the fluid "
"5 - Quality Issue - Assembly","Two top connector on Autonomy Module are not tighten."
"1 - Performance Loss","UVGI test unit left on"
"2 - Quality Issue - Appearance","Front left corner has a long scratch."
"4 - Quality Issue - Functional","Main broom actuator radically needs to be adjusted "
"5 - Quality Issue - Assembly","Scrub deck loose"
"5 - Quality Issue - Assembly","Mist kit line leaks on clamp next to open/close lever"
"5 - Quality Issue - Assembly","Scrub deck loos (this is for testing only)"
"5 - Quality Issue - Assembly","Missing hopper "
"2 - Quality Issue - Appearance","Shavings in rec tank filter"
"2 - Quality Issue - Appearance","Scratches on sol tank metal piece "
"3 - Quality Issue - Supplier","Shavings in filter"
"5 - Quality Issue - Assembly","Hot test engine connector cable is loose "
"5 - Quality Issue - Assembly","can not clock out M.O # 109066874, 109066875, and 109066876 not active. status is released. "
"5 - Quality Issue - Assembly","Missing foot plate"
"5 - Quality Issue - Assembly","Missing foot plate"
"2 - Quality Issue - Appearance","Fault Code: 2-025, M5 Open. Scrub and vacuum will not turn on. Tried to swamp the power module and fault code still appears. "
"5 - Quality Issue - Assembly","Leak coming from filter ( PL # 56407162 ) "
"5 - Quality Issue - Assembly","Right bumper assy looks Twisted "
"5 - Quality Issue - Assembly","Right Safety sensor also failed Go and No Go test."
"5 - Quality Issue - Assembly","Left Safety sensor failed Go and No Go test."
"5 - Quality Issue - Assembly","Drive wheel chain tight."
"5 - Quality Issue - Assembly","Scrub deck is loose "
"1 - Performance Loss","Missing bolt for rubber flap"
"5 - Quality Issue - Assembly","code 2-071 shut off side broom "
"5 - Quality Issue - Assembly","left side deck seem to get stuck and can not lift up."
"5 - Quality Issue - Assembly","loose deck "
"4 - Quality Issue - Functional","3D camera failed to calibrate "
"4 - Quality Issue - Functional","3D camera failed to calibrate "
"2 - Quality Issue - Appearance","Tape found in recovery tank."
"5 - Quality Issue - Assembly","Connectors on Auto Mod not tighten in."
"2 - Quality Issue - Appearance","Sensor-hall-effect wire clip broken/chipped."
"5 - Quality Issue - Assembly","Mapping sensor not calibrated to specs."
"3 - Quality Issue - Supplier","Critical Issue: Mapping Sensor failed, Left&Right 2D sensor failed and Go-Nogo gauge failed"
"3 - Quality Issue - Supplier","Critical Issue: Mapping Sensor failed, Left&Right 2D sensor failed and Go-Nogo gauge failed"
"3 - Quality Issue - Supplier","Critical Issue: Mapping Sensor failed, Left&Right 2D sensor failed and Go-Nogo gauge failed"
"4 - Quality Issue - Functional","the forward position on the foot pedal goes in reverse and the reverse position goes forward. drives really slow as well."
"5 - Quality Issue - Assembly","Missing EDC battery cables "
"2 - Quality Issue - Appearance","Scratch"
"2 - Quality Issue - Appearance","Tape"
"5 - Quality Issue - Assembly","Hopper cover hitting hook"
"1 - Performance Loss","No main broom motor in the warehouse."
"5 - Quality Issue - Assembly","Engine Cover collides with Corner Roller Bumper when opening."
"2 - Quality Issue - Appearance","Dvdgrgrgdg"
"5 - Quality Issue - Assembly","Dump Door ratcheted when trying to open once. Please adjust the actuator bracket more up."
"4 - Quality Issue - Functional","Need to update software to rev B. Attached picture to show how to check the revision."
"4 - Quality Issue - Functional","Still finding vibration in scrub deck"
"4 - Quality Issue - Functional","Scrub deck is vibrating."
"4 - Quality Issue - Functional","This is a test"
"4 - Quality Issue - Functional","Fault Code: 5-F4C7: Right Drop-Off. Failed Track 1 first mirror test."
"5 - Quality Issue - Assembly","Left and Right Safety sensor not in calibration specs."
"5 - Quality Issue - Assembly","Left Safety sensor failed Go and No Go test."
"4 - Quality Issue - Functional","Engine won't start"
"2 - Quality Issue - Appearance","Serial tag number not fully printed"
"2 - Quality Issue - Appearance","Decal crooked "
"5 - Quality Issue - Assembly","Brake pedal is loose"
"1 - Performance Loss","Fault history not cleared "
"5 - Quality Issue - Assembly","Prop rod ass won’t release by itself "
"5 - Quality Issue - Assembly","Missing pump hose."
"5 - Quality Issue - Assembly","need to replaced main broom act.. main broom doesn't go down"
"5 - Quality Issue - Assembly","Critical Issue: Loose connector on drive module and K3"
"5 - Quality Issue - Assembly","Loose connection on Relay K2"
"5 - Quality Issue - Assembly","Missing foot pedal"
"5 - Quality Issue - Assembly","Missing foot pedal"
"3 - Quality Issue - Supplier","Critical Issue: Function of Pump does not work"
"5 - Quality Issue - Assembly","Left Safety sensor failed Go and No Go test."
"5 - Quality Issue - Assembly","Mapping sensors not calibrated to specs."
"5 - Quality Issue - Assembly","loose deck"
"5 - Quality Issue - Assembly","Scrub deck is too low."
"4 - Quality Issue - Functional","LED light doesn't work."
"4 - Quality Issue - Functional","LED light doesn't work."
"5 - Quality Issue - Assembly","LED light doesn't work."
"5 - Quality Issue - Assembly","LED light doesn't work."
"1 - Performance Loss","No main broom motors in the warehouse."
"4 - Quality Issue - Functional","3D Camera Failed could not calibrate . fault code 5-F4AB Camera roll bound fail "
"5 - Quality Issue - Assembly","waiting/missing chemical bottles."
"4 - Quality Issue - Functional","Fault Code: 5-F7C4: Right Drop-Off. Failed Track 1 first mirror test."
